pmid	date	type	jabbrv	n.authors	n.words
2159752	1990-01-01	Journal Article	Ann N Y Acad Sci	6	12
2184094	1990-01-01	Journal Article	Genet Epidemiol	4	22
2204017	1990-01-01	Journal Article	Oncogene Res	2	18
2269901	1990-11-01	Case Reports	J Obstet Gynecol Neonatal Nurs	1	5
2296932	1990-01-01	Clinical Trial	Am J Clin Nutr	6	16
2311499	1990-01-01	Journal Article	Diabetes Educ	1	9
2322508	1990-03-01	Journal Article	Br J Ophthalmol	3	10
2326138	1990-02-01	Journal Article	Percept Mot Skills	1	13
2330149	1990-02-07	Editorial	Nursing (Lond)	1	4
2344493	1990-04-14	Comment	BMJ	2	7
2375361	1990-07-01	Comment	Am J Obstet Gynecol	1	7
2451674	1988-04-25	Other	J Biol Chem	3	9
2475029	1989-08-01	Journal Article	Am J Physiol	5	11
2479901	1989-09-01	Journal Article	Parasite Immunol	5	16
2493142	1989-02-13	Journal Article	Neurosci Lett	4	15
2526875	1989-05-01	Journal Article	J Rheumatol	2	12
2531842	1989-10-01	Other	Mol Immunol	3	29
2566844	1989-06-10	Other	Lancet	7	5
2610281	1989-09-01	Case Reports	Am J Sports Med	3	5
2643620	1989-01-01	Other	J Clin Microbiol	2	24
2645111	1989-03-01	Journal Article	Endocrinology	3	17
2662673	1989-01-01	Journal Article	VASA	3	8
2701663	1989-06-01	Journal Article	Curr Opin Rheumatol	1	5
2748100	1989-01-01	Other	Ophthalmologica	3	6
2778167	1989-07-01	Journal Article	J Dairy Sci	4	14
2872275	1986-07-01	Journal Article	J Neurochem	6	23
2894916	1988-01-01	Journal Article	Comp Biochem Physiol A Comp Physiol	3	15
2936774	1986-02-01	Case Reports	J Am Acad Dermatol	2	9
2944354	1986-08-01	Journal Article	Acta Physiol Scand	2	13
2986444	1985-05-01	Journal Article	Am J Clin Nutr	3	16
2988433	1985-04-01	Journal Article	Antimicrob Agents Chemother	4	14
3000333	1985-07-01	Journal Article	Avian Dis	4	10
3008923	1986-03-05	Journal Article	Brain Res	2	12
3026420	1986-10-01	Journal Article	Biochem Cell Biol	3	11
3060037	1988-01-01	Journal Article	Arch Microbiol	1	16
3075230	1988-05-01	Other	J Endod	3	12
3116271	1987-01-01	Other	J Mol Evol	2	24
3131951	1988-02-01	Journal Article	Vet Immunol Immunopathol	3	19
3133105	1988-06-15	Journal Article	Cancer Lett	4	18
3161913	1985-08-01	Case Reports	J Am Acad Dermatol	3	6
3171187	1988-10-04	Journal Article	J Immunol Methods	5	13
3182943	1988-02-01	Journal Article	J Cell Sci	8	8
3211584	1988-11-01	Journal Article	Orthop Nurs	1	11
3283516	1988-01-01	Journal Article	N Engl Reg Allergy Proc	1	8
3312560	1987-07-01	Journal Article	J Pediatr Ophthalmol Strabismus	3	6
3332540	1987-12-01	Journal Article	Gynecol Endocrinol	1	6
3426936	1987-11-01	Journal Article	Br J Cancer	4	9
3440739	1987-12-01	Journal Article	Isr J Med Sci	3	8
3443141	1987-01-01	Journal Article	Eur J Clin Pharmacol	4	22
3461239	1986-07-21	Other	Med J Aust	5	13
3474711	1987-07-01	Journal Article	RDH	1	5
3478225	1987-01-01	Case Reports	Fla Dent J	1	4
3541322	1987-01-01	Journal Article	Transplantation	5	6
3541578	1987-01-01	Other	Am J Orthod Dentofacial Orthop	1	7
3607836	1987-01-01	Journal Article	Cell Mol Biol	4	17
3611939	1986-04-01	Journal Article	Int J Colorectal Dis	1	15
3631896	1987-05-01	Journal Article	Anticancer Res	3	16
3697955	1986-04-01	Journal Article	Cancer Lett	2	14
3698132	1986-01-01	Journal Article	Chem Pharm Bull	4	18
3711298	1986-06-01	Journal Article	J Clin Microbiol	4	14
3716166	1986-02-22	Journal Article	Vet Rec	1	7
3728481	1986-06-01	Journal Article	Am J Hosp Pharm	4	9
3755133	1986-06-25	Journal Article	J Biol Chem	2	12
3773814	1986-11-17	Other	Med J Aust	0	3
3778194	1986-11-01	Case Reports	Arch Surg	1	8
3844280	1985-02-01	Journal Article	RN	1	7
3917625	1985-01-01	Other	Anesthesiology	2	9
3928145	1985-10-01	Journal Article	Cancer Res	2	14
3974249	1985-03-01	Case Reports	J Surg Oncol	2	5
4041445	1985-09-10	Journal Article	Biochim Biophys Acta	3	24
4050799	1985-01-01	Journal Article	Am J Ind Med	0	20
4084867	1985-11-01	Journal Article	Can J Neurol Sci	6	12
4199710	1973-09-01	Journal Article	Clin Pharmacol Ther	5	6
4206552	1974-04-10	Journal Article	J Biol Chem	3	28
4242922	1969-11-01	Journal Article	J Bacteriol	4	12
4324681	1971-06-01	Journal Article	Endocrinology	3	12
4371981	1974-01-01	Journal Article	Cell Tissue Res	2	22
4556734	1972-07-01	Other	Pediatrics	1	12
4570849	1973-02-01	Journal Article	Biochemistry	2	19
4578388	1973-04-01	Journal Article	J Biochem	2	9
4583952	1973-07-01	Other	Aust Vet J	0	4
4681124	1972-03-01	Journal Article	Panminerva Med	4	8
4724765	1973-08-01	Journal Article	Gen Comp Endocrinol	1	17
4748481	1973-08-01	Journal Article	J Anim Sci	3	12
4767319	1973-11-16	Other	Biochem Biophys Res Commun	3	8
4833686	1974-05-15	Journal Article	Experientia	4	14
4847087	1974-07-03	Journal Article	Cell Tissue Res	2	10
4861228	1967-07-01	Other	J Pathol Bacteriol	1	8
4885816	1969-03-01	Journal Article	Mo Med	1	6
4929080	1971-03-01	Clinical Trial	Clin Pharmacol Ther	3	6
5022443	1972-02-01	Journal Article	Can J Physiol Pharmacol	1	15
5035125	1972-06-01	Journal Article	Can J Psychol	2	8
5047417	1972-08-01	Journal Article	J Urol	3	15
5054221	1972-09-01	Journal Article	Am J Clin Nutr	1	6
5079053	1972-01-01	Journal Article	Hum Hered	4	10
5088865	1971-05-14	Journal Article	Doc Ophthalmol	1	18
5118775	1971-08-01	Journal Article	Hum Factors	3	14
5202071	1970-09-11	Journal Article	Nurs Mirror Midwives J	1	7
5228000	1967-03-01	Journal Article	TIC	0	8
5299583	1967-01-01	Journal Article	Int J Radiat Biol Relat Stud Phys Chem Med	3	12
5367942	1969-11-01	Journal Article	Lipids	2	7
5552258	1971-01-01	Journal Article	Pharmacology	2	15
5617808	1967-04-30	Journal Article	Rass Neurol Veg	3	16
5647910	1968-04-01	Journal Article	Ann Otol Rhinol Laryngol	1	3
5655136	1968-03-01	Journal Article	J Exp Zool	4	15
5672473	1968-09-01	Journal Article	Am J Obstet Gynecol	3	14
5921148	1966-01-01	Journal Article	Med Art	1	7
6038962	1967-03-01	Journal Article	Med Times	1	4
6055779	1967-08-30	Journal Article	J Ultrastruct Res	1	25
6071145	1967-01-09	Journal Article	JAMA	2	9
6072215	1967-10-09	Journal Article	JAMA	4	9
6120728	1982-01-01	Journal Article	Br J Hosp Med	1	5
6181183	1982-07-01	Journal Article	J Gen Microbiol	3	12
6184969	1982-01-01	Journal Article	Adv Neurol	2	6
6249022	1980-07-15	Journal Article	Virology	2	22
6265519	1981-05-01	Journal Article	J Agric Food Chem	4	13
6326644	1983-01-01	Journal Article	Ann N Y Acad Sci	6	11
6346842	1983-01-01	Journal Article	Alpha Omegan	2	11
6401736	1983-02-25	Journal Article	J Biol Chem	3	17
6416731	1983-09-01	Journal Article	Clin Nucl Med	2	5
6464797	1984-07-01	Other	Acta Psychiatr Scand	2	8
6465926	1984-07-01	Editorial	Arch Dis Child	1	10
6469752	1984-08-01	Journal Article	Int J Radiat Oncol Biol Phys	2	15
6525751	1984-12-01	Journal Article	Can J Appl Sport Sci	2	4
6562143	1984-03-01	Journal Article	J Adv Nurs	2	11
6725990	1984-04-01	Journal Article	J Infect Dis	3	10
6736073	1984-04-01	Journal Article	J Biomed Mater Res	2	5
6741420	1984-01-01	Journal Article	Acta Genet Med Gemellol (Roma)	1	12
6846644	1983-06-01	Journal Article	Am J Psychiatry	2	12
6857498	1983-06-01	Journal Article	Surgery	2	14
6893055	1980-04-01	Case Reports	J Endocrinol Invest	4	14
6894150	1981-01-23	Journal Article	J Chromatogr	3	15
6895419	1981-08-01	Journal Article	Res Commun Chem Pathol Pharmacol	2	9
6919423	1982-02-01	Journal Article	Aust Nurses J	1	8
6924802	1982-11-01	Journal Article	Todays OR Nurse	1	6
6929957	1980-04-01	Case Reports	N Z Dent J	1	7
6935434	1980-01-01	Case Reports	J Pedod	1	10
6958410	1982-10-01	Other	Community Dent Oral Epidemiol	1	10
6966743	1980-01-01	Case Reports	Mt Sinai J Med	2	9
7046452	1982-07-01	Case Reports	Am J Ophthalmol	2	7
7054949	1982-01-01	Journal Article	Adv Neurol	5	7
7097437	1982-08-01	Other	J Pediatr	0	3
7127748	1982-10-01	Journal Article	Clin Chem	5	15
7200495	1982-04-01	Journal Article	J Comput Assist Tomogr	2	11
7211853	1980-11-01	Journal Article	Am J Hosp Pharm	2	6
7227437	1980-12-01	Journal Article	Eur J Cancer	0	23
7283087	1981-01-01	Case Reports	Brain Dev	1	16
7294103	1981-09-01	Case Reports	Am J Ophthalmol	6	7
7352415	1980-01-01	Journal Article	Am J Clin Pathol	3	7
7530236	1995-01-27	Journal Article	Int J Cancer	6	15
7542806	1995-06-26	Journal Article	Toxicology	4	10
7592254	1995-08-01	Journal Article	J Autism Dev Disord	3	12
7697727	1995-04-01	Journal Article	Cell Immunol	6	12
7766505	1995-04-12	Journal Article	Nurs Stand	1	5
7795332	1995-04-01	Journal Article	Transfus Med Rev	4	7
7807496	1994-09-01	Journal Article	J Hum Hypertens	1	9
7859669	1994-10-01	Journal Article	Electromyogr Clin Neurophysiol	6	8
7969832	1994-08-01	Journal Article	Neurosurgery	4	6
7987272	1994-02-01	Journal Article	Br J Audiol	5	5
8013029	1994-03-01	Other	Cardiovasc Intervent Radiol	3	13
8087411	1994-02-01	Journal Article	Mol Cell Neurosci	2	16
8104343	1993-01-01	Journal Article	Proc West Pharmacol Soc	5	10
8119363	1994-02-01	Journal Article	Epidemiol Infect	3	16
8126845	1994-04-01	Case Reports	J Urol	1	5
8159468	1994-02-01	Journal Article	Parasitology	5	16
8183510	1994-02-01	Case Reports	Ophthalmic Surg	2	6
8208552	1994-07-01	Journal Article	Oncogene	7	15
8320869	1993-01-01	Other	Jpn J Ophthalmol	4	14
8347802	1993-06-01	Journal Article	Neuroreport	3	9
8365959	1993-07-01	Journal Article	J Appl Bacteriol	6	10
8457471	1993-02-01	Journal Article	Br J Haematol	4	18
8493240	1993-01-01	Clinical Trial	Parasitol Res	5	9
8496232	1993-05-01	Other	J Bone Joint Surg Br	3	8
8496270	1993-04-21	Journal Article	J Chromatogr	2	19
8515701	1993-04-01	Other	Md Med J	1	5
8570172	1995-12-07	Journal Article	Oncogene	5	12
8604757	1996-03-01	Journal Article	Am J Public Health	5	14
8620573	1996-01-05	Journal Article	Chem Biol Interact	4	20
8637633	1995-11-01	Journal Article	Neuroscience	6	20
8690702	1996-01-01	Journal Article	J Clin Psychiatry	2	11
8775553	1995-12-01	Journal Article	Acta Paediatr Jpn	6	11
8800738	1995-09-01	Case Reports	J Heart Lung Transplant	4	15
8811441	1996-06-07	Journal Article	J Chromatogr B, Biomed Appl	3	10
8829498	1996-01-01	Case Reports	Dermatology (Basel)	7	8
8834380	1996-01-01	Journal Article	Biol Trace Elem Res	4	21
8841625	1995-01-01	Journal Article	Nucleic Acids Symp Ser	5	15
8867411	1996-03-01	Journal Article	Indiana Med	1	10
8871928	1996-08-01	Journal Article	Mod Pathol	6	13
8957511	1996-12-02	Case Reports	Am J Med Genet	4	4
8989107	1996-12-15	Comment	Circulation	2	8
9009732	1996-01-01	Journal Article	Prog Brain Res	2	6
9030369	1997-02-01	Journal Article	AIDS	6	8
9040425	1997-02-15	Journal Article	Hosp Pract (1995)	2	4
9055423	1997-03-01	Journal Article	Appl Environ Microbiol	3	26
9055729	1997-02-22	Comment	BMJ	1	14
9067845	1997-03-24	Journal Article	J Comp Neurol	3	13
9075112	1997-03-01	Editorial	Nephrol Dial Transplant	1	15
9080269	1997-03-01	Journal Article	J Adv Nurs	1	12
9116683	1996-01-01	Journal Article	Neurobiology (Bp)	1	10
9170070	1996-01-01	Case Reports	J Am Psychoanal Assoc	1	6
9180648	1997-05-01	Other	J Clin Epidemiol	5	16
9187670	1997-06-01	Case Reports	Hum Genet	9	26
9242939	1997-07-01	Journal Article	ASAIO J	5	10
9273952	1997-06-30	Journal Article	Rev Rhum Engl Ed	1	2
9284904	1997-09-01	Journal Article	Metab Clin Exp	4	13
9383798	1997-12-31	Journal Article	Optom Vis Sci	8	8
9414456	1996-09-01	Journal Article	Rev Reprod	2	4
9438332	1998-01-23	Journal Article	Am Ind Hyg Assoc J	5	21
9445034	1998-01-28	Journal Article	J Virol	5	21
9460377	1998-02-14	Other	J Emerg Nurs	1	7
9505745	1998-03-20	Case Reports	Anaesthesia	4	8
9509731	1998-03-24	Comment	Ear Nose Throat J	1	13
9527307	1998-04-04	Journal Article	Cleft Palate Craniofac J	4	13
9539779	1998-05-16	Journal Article	Proc Natl Acad Sci USA	11	16
9613879	1998-06-05	Journal Article	Semin Nephrol	2	17
9619483	1998-06-10	Journal Article	Immunol Cell Biol	4	15
9628675	1998-06-17	Other	J Thorac Cardiovasc Surg	5	16
9650588	1998-07-03	Journal Article	FEBS Lett	3	10
9688168	1998-08-04	Clinical Trial	Lipids	7	19
9703125	1998-08-14	Journal Article	J Am Acad Dermatol	2	9
9806736	1998-11-07	Journal Article	Am J Respir Cell Mol Biol	5	12
9814300	1998-11-14	Journal Article	J Perianesth Nurs	1	5
9832362	1998-12-01	Journal Article	J Chromatogr B Biomed Sci Appl	2	19
9859896	1998-12-22	Journal Article	J Speech Lang Hear Res	2	14
9898046	1987-05-15	Journal Article	Phys Rev A Gen Phys	4	19
9920583	1989-04-01	Journal Article	Phys Rev A Gen Phys	2	14
9957095	1986-12-01	Journal Article	Phys Rev, D	2	12
9977936	1995-05-01	Journal Article	Phys Rev, B Condens Matter	5	9
10053127	1999-03-04	Other	J Magn Reson	4	10
10082581	1999-03-19	Other	Mol Cell Biol	10	16
10084571	1999-03-20	Journal Article	J Clin Endocrinol Metab	12	15
10118437	1992-03-02	Journal Article	Adv Data	1	8
10177684	1998-01-07	Journal Article	Healthc Inform	1	5
10222182	1999-05-01	Journal Article	J Invertebr Pathol	3	15
10226910	1999-05-05	Journal Article	J Med Ethics	1	13
10253522	1981-08-09	Journal Article	Libr Technol Rep	0	11
10289189	1978-12-13	Journal Article	N Z Hosp	0	10
10299731	1984-10-07	Journal Article	Comput Healthc	1	3
10299903	1985-02-10	Journal Article	Natl J (Wash)	1	4
10311095	1985-03-11	Journal Article	Bests Rev Life Health Insur Ed	1	5
10324111	1980-09-10	Journal Article	Health Law Vigil	1	11
10335661	1999-05-21	Other	Mol Biol Evol	4	15
10376916	1999-06-22	Clinical Trial	J Cardiovasc Electrophysiol	11	17
10378698	1999-06-23	Journal Article	Oncogene	1	8
10473581	1999-09-03	Journal Article	J Biol Chem	3	17
10495112	1999-09-24	Journal Article	Phys Med Biol	5	25
10495431	1999-09-25	Journal Article	Int J Cancer	10	12
10500014	1999-09-29	Clinical Trial	Am J Clin Nutr	5	17
10514910	1999-10-09	Other	Chir Ital	5	7
10546456	1999-11-05	Journal Article	Med Arh	6	17
10562263	1999-11-16	Journal Article	Circulation	6	13
10563484	1999-11-24	Case Reports	Clin Genet	9	9
10627252	2000-01-08	Journal Article	Ann Intern Med	1	3
10640505	2000-01-21	Other	Drug Metab Dispos	3	12
10655020	2000-02-02	Journal Article	Can J Gastroenterol	1	10
10664387	2000-02-09	Journal Article	Arch Virol	6	9
10691340	2000-02-26	Journal Article	Occup Environ Med	6	23
10692905	2000-02-29	Journal Article	J R Soc Med	4	5
10708346	2000-03-09	Journal Article	Schizophr Res	3	15
10714219	2000-03-14	Journal Article	Verh Dtsch Ges Pathol	6	21
10726439	2000-03-22	Other	J Sports Med Phys Fitness	2	9
10832942	2000-06-01	Case Reports	South Med J	2	6
10899306	2000-07-19	Journal Article	FEBS Lett	2	16
10919317	2000-08-05	Journal Article	Curr Probl Cancer	1	9
10922170	2000-08-02	Journal Article	Br J Oral Maxillofac Surg	1	5
10942186	2000-08-15	Journal Article	Ther Drug Monit	3	13
11025831	2000-10-12	Journal Article	JAMA	11	17
11029987	2000-10-13	Journal Article	Am J Public Health	6	16
11031005	2000-10-14	Journal Article	J Org Chem	3	14
11032325	2000-10-14	Journal Article	Chromosome Res	8	10
11087551	2000-11-23	Journal Article	J Agric Food Chem	6	18
11111619	2000-12-09	Journal Article	J Clin Nurs	3	13
11145777	2001-01-06	Journal Article	Ann Emerg Med	2	15
11150258	2001-01-11	Journal Article	Ophthalmology	7	12
11160966	2001-02-13	Case Reports	Neurology	6	11
11184505	2001-02-24	Journal Article	Health Serv J	1	7
11188079	2001-02-24	Journal Article	Natl Rep Subacute Care	0	13
11244505	2001-03-13	Journal Article	Oncogene	7	23
11267241	2001-03-27	Journal Article	Transplant Proc	1	15
11279966	2001-03-31	Case Reports	Headache	1	18
11346123	2001-05-11	Comment	Med J Aust	1	6
11388758	2001-06-05	Journal Article	Genet Med	4	15
11401087	2001-06-13	Journal Article	Ann Hematol	3	17
11454638	2001-07-17	Journal Article	Ann Rheum Dis	8	11
11461859	2001-07-20	Other	AJR Am J Roentgenol	9	19
11500330	2001-08-14	Comment	Am J Respir Crit Care Med	1	15
11506958	2001-08-17	Journal Article	Eur J Cancer	7	13
11517261	2001-08-23	Journal Article	J Neurosci	5	20
11517305	2001-08-23	Journal Article	Proc Natl Acad Sci USA	5	13
11518235	2001-08-24	Journal Article	J Anim Sci	3	19
11522741	2001-08-28	Journal Article	Gastroenterology	6	17
11526483	2001-08-30	Other	Oncogene	2	17
11540977	1995-10-01	Journal Article	Acta Astronaut	9	8
11600297	2001-10-16	Journal Article	J Pharm Biomed Anal	1	14
11604474	2001-10-18	Other	J Natl Cancer Inst	1	7
11703242	2001-11-13	Case Reports	Anaesthesia	4	11
11730330	2001-12-04	Journal Article	J Am Acad Orthop Surg	2	10
11746269	2001-12-18	Journal Article	Prostate	6	17
11829542	2002-02-07	Comment	ACP J Club	1	16
11835120	2002-02-09	Clinical Trial	Exp Clin Endocrinol Diabetes	6	14
11853216	2002-02-21	Journal Article	Zhonghua Yi Xue Za Zhi (Taipei)	7	16
11933875	2002-04-06	Other	Regul Pept	0	17
11946212	1971-12-15	Journal Article	FEBS Lett	3	10
11957901	2002-04-18	Editorial	Nurs Times	2	9
11964576	2002-04-20	Clinical Trial	Am J Phys Med Rehabil	3	16
12093441	2002-07-03	Journal Article	Nutrition	6	13
12136025	2002-07-24	Journal Article	Genetics	10	11
12140910	2002-07-27	Journal Article	Crit Care Clin	2	6
12178879	2002-08-15	Journal Article	Conscience	1	8
12180327	2002-08-16	Journal Article	Chemistry	7	19
12204662	2002-09-03	Journal Article	Eur J Cancer	1	8
12240369	2002-09-21	Journal Article	Chem Commun (Camb)	4	15
12444579	2002-11-22	Journal Article	Appl Nurs Res	1	9
12449937	2002-11-27	Journal Article	Law Philos	1	5
12456134	2002-11-29	Journal Article	Contemp Top Lab Anim Sci	2	16
12484556	2002-12-18	Journal Article	Exp Toxicol Pathol	6	11
12497588	2002-12-24	Journal Article	Prostate	3	18
12507079	2003-01-01	Journal Article	J Neurosurg	2	12
12508218	2003-01-01	Journal Article	Catheter Cardiovasc Interv	1	23
12516220	2003-01-09	Journal Article	Capitation Manag Rep	0	11
12571596	2003-02-07	Journal Article	Nature	6	13
12574954	2003-02-08	Clinical Trial	J Neurol	4	12
12605046	2003-02-27	Journal Article	Cornea	5	13
12649011	2003-03-22	Other	Med Eng Phys	3	17
12654298	2003-03-26	Journal Article	Dev Biol	2	10
12741825	2003-05-14	Journal Article	Biochemistry	4	14
12803673	2003-06-14	Journal Article	Neurologist	1	12
12806222	2003-06-14	Journal Article	Curr Opin Clin Nutr Metab Care	2	25
12849276	2003-07-10	Case Reports	Lancet Neurol	1	2
12851764	2003-07-10	Clinical Trial	Intensive Care Med	10	29
12969780	2003-09-13	Journal Article	J Soc Gynecol Investig	2	12
13014825	1952-12-01	Journal Article	R I Med J	1	6
13050332	1953-02-01	Journal Article	Acta Med Orient	1	6
13084538	1953-08-01	Other	J Aviat Med	0	5
13154624	1954-05-01	Journal Article	N Y State J Med	1	7
13158069	1954-01-01	Journal Article	Acta Physiol Acad Sci Hung	2	8
13160046	1954-01-01	Journal Article	Biol Lat	2	12
13227804	1954-01-01	Journal Article	Acta Derm Venereol	3	7
13240135	1955-08-13	Journal Article	Br Med J	0	4
13279318	1955-01-01	Journal Article	Med Radiogr Photogr	1	9
13343071	1956-08-01	Journal Article	Can Med Assoc J	4	12
13436509	1957-06-01	Journal Article	Blood	2	18
13462259	1957-07-01	Journal Article	Grace Hosp Bul	3	3
13657702	1959-05-01	Journal Article	Phys Ther Rev	1	7
13798936	1959-09-01	Journal Article	Am J Surg	1	7
13907805	1962-03-01	Journal Article	J Radiat Res	7	8
13930937	1962-12-27	Journal Article	N Engl J Med	1	4
13952730	1963-01-01	Journal Article	Ann Surg	2	7
14034267	1962-10-01	Journal Article	Yokohama Med Bull	2	11
14034738	1963-05-01	Journal Article	J Nutr	3	10
14407710	1960-06-01	Journal Article	Aerosp Med	1	14
14416490	1959-08-01	Journal Article	Am Rev Respir Dis	8	8
14485575	1962-09-01	Journal Article	J Am Med Womens Assoc	1	3
14583305	2003-10-30	Journal Article	Eur J Cardiothorac Surg	6	11
14593093	2003-11-01	Journal Article	J Biol Chem	4	21
14598861	2003-11-06	Journal Article	Clin Chem Lab Med	10	7
14633153	2003-11-25	Journal Article	Kidney Int	10	18
14636220	2003-11-26	Journal Article	Int J Androl	5	10
14649988	2003-12-03	Journal Article	Can Fam Physician	3	13
14674596	2003-12-17	Journal Article	Arch Environ Contam Toxicol	2	20
14682080	2003-12-20	Case Reports	Am J Alzheimers Dis Other Demen	3	12
14728022	2004-01-20	Journal Article	Am J Cardiovasc Drugs	4	7
14737096	2004-01-23	Other	Genes Immun	7	10
14755289	2004-02-03	Comment	Nat Biotechnol	1	8
14846238	1951-06-01	Journal Article	U S Armed Forces Med J	6	11
14918728	1952-02-23	Journal Article	Med J Aust	1	5
14981683	2004-02-26	Journal Article	Electrophoresis	3	20
15020295	2004-03-17	Journal Article	Am J Physiol Lung Cell Mol Physiol	8	8
15038161	2004-03-25	Other	BioTechniques	4	11
15075099	2004-04-13	Case Reports	Haematologica	9	21
15080626	2004-04-15	Journal Article	J Agric Food Chem	5	12
15086768	2004-04-17	Journal Article	Wound Repair Regen	5	11
15132533	2004-05-11	Journal Article	J Org Chem	3	19
15285234	2004-08-03	Case Reports	Int Surg	6	10
15292388	2004-08-05	Journal Article	J Natl Cancer Inst	7	17
15292438	2004-08-05	Comment	J Bone Joint Surg Am	2	10
15317444	2004-08-20	Journal Article	Am Fam Physician	2	11
15329471	2004-08-27	Journal Article	J Reprod Dev	11	15
15334907	2004-09-01	Journal Article	J Sep Sci	3	11
15411119	1950-04-01	Journal Article	Ann Intern Med	2	8
15492235	2004-10-20	Journal Article	Cancer Res	8	18
15534779	2004-11-10	Case Reports	J Reconstr Microsurg	4	14
15551661	2004-11-24	Journal Article	Can J Nurs Res	2	11
15571784	2004-12-02	Clinical Trial	J Affect Disord	6	16
15592584	2004-12-14	Journal Article	Reprod Biol	2	11
15653398	2005-01-18	Journal Article	Curr Opin Plant Biol	2	7
15654111	2005-01-18	Journal Article	Genetics	5	20
15670042	2005-01-27	Journal Article	J Thromb Haemost	7	18
15677242	1977-12-01	Journal Article	Appl Ergon	1	5
15700995	2005-02-11	Journal Article	J Am Chem Soc	3	7
15723843	2005-02-23	Journal Article	J Ultrasound Med	4	20
15750217	2005-03-08	Journal Article	Acta Crystallogr C	3	10
15795555	2005-03-30	Journal Article	Clin Neuropharmacol	2	5
15796980	2005-03-31	Journal Article	FEMS Microbiol Lett	5	15
15811115	2005-04-07	Journal Article	J Cutan Pathol	7	14
15828731	2005-04-15	Other	Vet Rec	1	4
15838002	2005-04-20	Comment	J Clin Oncol	5	6
15852444	2005-04-27	Journal Article	Int J Geriatr Psychiatry	3	23
15878415	2005-05-10	Journal Article	J Environ Radioact	4	16
15917361	2005-05-27	Journal Article	Acad Med	7	22
16007493	2005-07-12	Other	J Mol Evol	2	15
16023828	2005-07-19	Clinical Trial	Brain Behav Immun	2	13
